Processor,Model,Cores,Threads,Clock rate_base,Clock rate_max,Clock rate_turbo,Clock rate_turbo boost,IGPU,IGPU_Clock,IGPU_EUs,Smart cache_MB,TDP_Watts,Price,Socket,Launch
Core i9,11900K,8,16,3.5 GHz,4.8 GHz,5.1 GHz,5.2 GHz,UHD 750,1.3 GHz,32,16,125,$539 ,LGA 1200,Q1 2021
Core i9,11900KF,8,16,3.5 GHz,4.8 GHz,5.1 GHz,5.2 GHz,N/A,N/A,N/A,16,125,$513 ,LGA 1200,Q1 2021
Core i9,11900,8,16,2.5 GHz,4.7 GHz,5.0 GHz,5.1 GHz,UHD 750,1.3 GHz,32,16,65,$439 ,LGA 1200,Q1 2021
Core i9,11900F,8,16,2.5 GHz,4.7 GHz,5.0 GHz,5.1 GHz,N/A,N/A,N/A,16,65,$422 ,LGA 1200,Q1 2021
Core i9,11900T,8,16,1.5 GHz,3.7 GHz,4.8 GHz,4.9 GHz,UHD 750,1.3 GHz,32,16,35,$439 ,LGA 1200,Q1 2021
Core i7,11700K,8,16,3.6 GHz,4.6 GHz,4.9 GHz,5.0 GHz,UHD 750,1.3 GHz,32,16,125,$399 ,LGA 1200,Q1 2021
Core i7,11700KF,8,16,3.6 GHz,4.6 GHz,4.9 GHz,5.0 GHz,N/A,N/A,N/A,16,125,$374 ,LGA 1200,Q1 2021
Core i7,11700,8,16,2.5 GHz,4.4 GHz,4.8 GHz,4.9 GHz,UHD 750,1.3 GHz,32,16,65,$323 ,LGA 1200,Q1 2021
Core i7,11700F,8,16,2.5 GHz,4.4 GHz,4.8 GHz,4.9 GHz,N/A,N/A,N/A,16,65,$298 ,LGA 1200,Q1 2021
Core i7,11700T,8,16,1.4 GHz,3.6 GHz,4.5 GHz,4.6 GHz,UHD 750,1.3 GHz,32,16,35,$323 ,LGA 1200,Q1 2021
Core i5,11600K,6,12,3.9 GHz,4.6 GHz,4.9 GHz,N/A,UHD 750,1.3 GHz,32,12,125,$262 ,LGA 1200,Q1 2021
Core i5,11600KF,6,12,3.9 GHz,4.6 GHz,4.9 GHz,N/A,N/A,N/A,N/A,12,125,$237 ,LGA 1200,Q1 2021
Core i5,11600,6,12,2.8 GHz,4.3 GHz,4.8 GHz,N/A,UHD 750,1.3 GHz,32,12,65,$213 ,LGA 1200,Q1 2021
Core i5,11600T,6,12,1.7 GHz,3.5 GHz,4.1 GHz,N/A,UHD 750,1.3 GHz,32,12,35,,LGA 1200,Q1 2021
Core i5,11500,6,12,2.7 GHz,4.2 GHz,4.6 GHz,N/A,UHD 750,1.3 GHz,32,12,65,$192 ,LGA 1200,Q1 2021
Core i5,11500T,6,12,1.5 GHz,3.4 GHz,3.9 GHz,N/A,UHD 750,1.2 GHz,32,12,35,,LGA 1200,Q1 2021
Core i5,11400,6,12,2.6 GHz,4.2 GHz,4.4 GHz,N/A,UHD 730,1.3 GHz,24,12,65,$182 ,LGA 1200,Q1 2021
Core i5,11400F,6,12,2.6 GHz,4.2 GHz,4.4 GHz,N/A,N/A,N/A,N/A,12,65,$157 ,LGA 1200,Q1 2021
Core i5,11400T,6,12,1.3 GHz,3.3 GHz,3.7 GHz,N/A,UHD 730,1.2 GHz,24,12,35,$182 ,LGA 1200,Q1 2021
Xeon,W-11955M,8,16,2.6 GHz,5.0 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,45,,FCBGA1787,Q2 2021
Xeon,W-11865MRE,8,16,2.1 GHz,4.7 GHz,N/A,N/A,UHD ,1.35 GHz,32,24,35,,FCBGA1787,Q3 2021
Xeon,W-11865MLE,8,16,1.5 GHz,4.5 GHz,N/A,N/A,UHD ,1.35 GHz,32,24,25,,FCBGA1787,Q3 2021
Xeon,W-11855M,6,12,2.6 GHz,4.9 GHz,N/A,N/A,UHD ,1.45 GHz,32,18,35,,FCBGA1787,Q2 2021
Xeon,W-11555MRE,6,12,2.1 GHz,4.5 GHz,N/A,N/A,UHD ,1.35 GHz,32,12,35,,FCBGA1787,Q3 2021
Xeon,W-11555MLE,6,12,1.9 GHz,4.4 GHz,N/A,N/A,UHD ,1.35 GHz,32,12,25,,FCBGA1787,Q3 2021
Xeon,W-11155MRE,4,8,1.9 GHz,4.4 GHz,N/A,N/A,UHD ,1.25 GHz,16,8,35,,FCBGA1787,Q3 2021
Xeon,W-11155MLE,4,8,1.8 GHz,3.1 GHz,N/A,N/A,UHD ,1.25 GHz,16,8,25,,FCBGA1787,Q3 2021
Core i9,11980HK,8,16,2.6 GHz,5.0 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,45,,FCBGA1787,Q2 2021
Core i9,11950H,8,16,2.6 GHz,5.0 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,45,,FCBGA1787,Q2 2021
Core i9,11900H,8,16,2.1 GHz,4.9 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,35,,FCBGA1787,Q2 2021
Core i7,11850HE,8,16,2.1 GHz,4.7 GHz,N/A,N/A,UHD ,1.35 GHz,32,24,35,,FCBGA1787,Q3 2021
Core i7,11850H,8,16,2.1 GHz,4.8 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,35,,FCBGA1787,Q2 2021
Core i7,11800H,8,16,1.9 GHz,4.6 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,35,,FCBGA1787,Q2 2021
Core i7,11850H,8,16,2.1 GHz,4.8 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,35,,FCBGA1787,Q2 2021
Core i7,11600H,6,12,2.5 GHz,4.6 GHz,N/A,N/A,UHD ,1.45 GHz,32,24,35,,FCBGA1787,Q3 2021
Core i7,11390H,4,8,3.4 GHz,5.0 GHz,N/A,N/A,UHD ,1.40 GHz,96,12,28,,FCBGA1449,Q2 2021
Core i7,11375H,4,8,3.0 GHz,5.0 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,28,,FCBGA1449,Q1 2021
Core i7,11370H,4,8,3.0 GHz,4.8 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,28,,FCBGA1449,Q1 2021
Core i7,11370H,4,8,3.0 GHz,4.8 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,28,,FCBGA1449,Q2 2021
Core i7,11375H ,4,8,3.0 GHz,5.0 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,28,,FCBGA1449,Q2 2021
Core i7,1195G7,4,8,1.3 GHz,5.0 GHz,N/A,N/A,UHD ,1.40 GHz,96,12,15,,FCBGA1449,Q2 2021
Core i7,1195G7,4,8,1.3 GHz,5.0 GHz,N/A,N/A,UHD ,1.40 GHz,96,12,15,,FCBGA1449,Q2 2021
Core i7,1185GRE,4,8,1.8 GHz,4.4 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,15,,FCBGA1449,Q3 2020
Core i7,1185G7E,4,8,1.8 GHz,4.4 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,15,,FCBGA1449,Q3 2020
Core i7,1165G7,4,8,1.2 GHz,4.7 GHz,N/A,N/A,UHD ,1.30 GHz,96,12,15,,FCBGA1449,Q3 2020
Core i7,1185G7,4,8,1.2 GHz,4.8 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,15,,FCBGA1449,Q3 2020
Core i7,1165G7 ,4,8,1.2 GHz,4.6 GHz,N/A,N/A,UHD ,1.30 GHz,96,12,15,,FCBGA1449,Q3 2020
Core i7,1180G7,4,8,0.9 GHz,4.6 GHz,N/A,N/A,UHD ,1.10 GHz,96,12,7,,FCBGA1598,Q1 2021
Core i7,1160G7 ,4,8,0.9 GHz,4.4 GHz,N/A,N/A,UHD ,1.10 GHz,96,12,7,,FCBGA1598,Q3 2020
Core i5,11500H,6,12,2.4 GHz,4.6 GHz,N/A,N/A,UHD ,1.45 GHz,32,12,35,,FCBGA1787,Q2 2021
Core i5,11500HE,6,12,2.1 GHz,4.5 GHz,N/A,N/A,UHD ,1.35 GHz,32,12,35,,FCBGA1787,Q3 2021
Core i5,11400H,6,12,2.5 GHz,4.5 GHz,N/A,N/A,UHD ,1.45 GHz,16,12,35,,FCBGA1787,Q2 2021
Core i5,11260H,6,12,2.1 GHz,4.4 GHz,N/A,N/A,UHD ,1.40 GHz,16,12,35,,FCBGA1787,Q2 2021
Core i5,11320H,4,8,2.5 GHz,4.5 GHz,N/A,N/A,UHD ,1.35 GHz,96,12,28,,FCBGA1449,Q2 2021
