Model,Cores,Threads,Clock rate_base,Clock rate_max,Clock rate_turbo,Clock rate_turbo boost,IGPU,IGPU_Clock,IGPU_EUs,Smart cache_MB,TDP_Watts,Price,Socket,Launch
11980HK,8,16,2.6 GHz,5.0 GHz,,,UHD ,1.45 GHz,32.0,24,45,,FCBGA1787,Q2 2021
11950H,8,16,2.6 GHz,5.0 GHz,,,UHD ,1.45 GHz,32.0,24,45,,FCBGA1787,Q2 2021
11900H,8,16,2.1 GHz,4.9 GHz,,,UHD ,1.45 GHz,32.0,24,35,,FCBGA1787,Q2 2021
11850HE,8,16,2.1 GHz,4.7 GHz,,,UHD ,1.35 GHz,32.0,24,35,,FCBGA1787,Q3 2021
11850H,8,16,2.1 GHz,4.8 GHz,,,UHD ,1.45 GHz,32.0,24,35,,FCBGA1787,Q2 2021
11800H,8,16,1.9 GHz,4.6 GHz,,,UHD ,1.45 GHz,32.0,24,35,,FCBGA1787,Q2 2021
11850H,8,16,2.1 GHz,4.8 GHz,,,UHD ,1.45 GHz,32.0,24,35,,FCBGA1787,Q2 2021
11600H,6,12,2.5 GHz,4.6 GHz,,,UHD ,1.45 GHz,32.0,24,35,,FCBGA1787,Q3 2021
11390H,4,8,3.4 GHz,5.0 GHz,,,UHD ,1.40 GHz,96.0,12,28,,FCBGA1449,Q2 2021
11375H,4,8,3.0 GHz,5.0 GHz,,,UHD ,1.35 GHz,96.0,12,28,,FCBGA1449,Q1 2021
11370H,4,8,3.0 GHz,4.8 GHz,,,UHD ,1.35 GHz,96.0,12,28,,FCBGA1449,Q1 2021
11370H,4,8,3.0 GHz,4.8 GHz,,,UHD ,1.35 GHz,96.0,12,28,,FCBGA1449,Q2 2021
11375H ,4,8,3.0 GHz,5.0 GHz,,,UHD ,1.35 GHz,96.0,12,28,,FCBGA1449,Q2 2021
1195G7,4,8,1.3 GHz,5.0 GHz,,,UHD ,1.40 GHz,96.0,12,15,,FCBGA1449,Q2 2021
1195G7,4,8,1.3 GHz,5.0 GHz,,,UHD ,1.40 GHz,96.0,12,15,,FCBGA1449,Q2 2021
1185GRE,4,8,1.8 GHz,4.4 GHz,,,UHD ,1.35 GHz,96.0,12,15,,FCBGA1449,Q3 2020
1185G7E,4,8,1.8 GHz,4.4 GHz,,,UHD ,1.35 GHz,96.0,12,15,,FCBGA1449,Q3 2020
1165G7,4,8,1.2 GHz,4.7 GHz,,,UHD ,1.30 GHz,96.0,12,15,,FCBGA1449,Q3 2020
1185G7,4,8,1.2 GHz,4.8 GHz,,,UHD ,1.35 GHz,96.0,12,15,,FCBGA1449,Q3 2020
1165G7 ,4,8,1.2 GHz,4.6 GHz,,,UHD ,1.30 GHz,96.0,12,15,,FCBGA1449,Q3 2020
